121,2015,1
227,2015,2
446,2015,3
731,2015,4
1017,2015,5
1473,2015,6
933,2015,7
2004,2015,8
3224,2015,9
1176,2015,10
1375,2015,11
1206,2015,12
123,2016,1
0,2016,2
863,2016,3
412,2016,4
851,2016,5
5105,2016,6
387,2016,7
1270,2016,8
298,2016,9
2092,2016,10
2693,2016,11
3688,2016,12
8,2017,1
12,2017,2
34,2017,3
23,2017,4
0,2017,5
66,2017,6
703,2017,7
729,2017,8
1013,2017,9
1333,2017,10
215,2017,11
425,2017,12
833,2018,1
854,2018,2
498,2018,3
598,2018,4
961,2018,5
754,2018,6
1098,2018,7
1158,2018,8
